,Item,Patrimônio,,,,Garantia,,,,Modelo,Descrição
,139,6001,,,,,,,,,"PRATELEIRA COM TAMPA - DESCRICAO: EM MADEIRA ESTRUTURA DE FERRO, COM SUPORTE E MÃO-DE-FORCA, INSTALADA A PARTIR 2 METROS DE ALTURA DO CHÃO, PROFUNDIDADE DE 40 CM, ALTURA DE 50 CM CADA UMA, 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS"
,140,6002,,,,22/12/2005 a 22/12/2006,,,,MCA105BB,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 10.000BTUS DE 220WATS
,141,6003,,,,22/12/2005 a 22/12/2006,,,,MCA105BB,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 10.000BTUS DE 220WATS
,142,6066,,,,24/02/2006 a 24/02/2008,,,,,MONITOR DE VIDEO POLICROMATICO
,143,6070,,,,24/02/2006 a 24/02/2008,,,,,TECLADO PARA MICROCOMPUTADOR
,144,6159,,,,,,,,,MICROCOMPUTADOR COM PROCESSADOR PENTIUM IV
,145,6205,,,,22/04/2006 a 16/03/2009,,,,,MONITOR DE VIDEO POLICROMATICO
,146,6307,,,,,,,,DT-320,DVD PLAYER - DESCRICAO: PORTÁTIL
,147,6308,,,,,,,,2G 3201,ROTEADOR PARA REDES
,148,6315,,,,,,,,,GAVETEIRO VOLANTE EM MELAMINIO - DESCRICAO: COM 3 GAVETAS / CHAVES NA COR CINZA.
,149,6323,,,,06/06/2006 a 20/04/2007,,,,KV-34FS110,TELEVISOR EM CORES - DESCRICAO: 34 POLEGADAS
,150,6328,,,,07/06/2006 a 01/03/2009,,,,2950T,SWITCH  
,151,6369,,,,30/08/2006 a 30/01/2007,,,,D-203,DVD PLAYER
,152,6379,,,,05/09/2006 a 29/01/2007,,,,MAP 60CSX,APARELHO DE GPS (SISTEMA DE POSICIONAMENTO GLOBAL) - DESCRICAO: NR. SÉRIE 74969798
,153,6399,,,,,,,,,"BALCAO PARA ATENDIMENTO - DESCRICAO: EM MELAMINIO COM PAINÉIS 1,20 X0,73M 1MEDINDO 0,90X1,08M   COM DOIS  MÓDULOS"
,154,6400,,,,,,,,,"BALCAO PARA ATENDIMENTO - DESCRICAO: EM MELAMINIO COM PAINÉIS 1,20 X0,73M 1MEDINDO 0,90X1,08M   -   COM  DOIS  MÓDULOS  ."
,155,6463,,,,29/12/2006 a 12/12/2007,,,,SILENTIA,"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT, CAPACIDADE 12.000 BTUS."
