DATA;TIPO;NR;PROCEDIMENTO;DESCRIÇÃO: MATERIAL / SERVIÇO / PATRONAL;VALOR;DEFERIDO POR;CODIGO;Unidade;TIPO DE EMPENHO;UNIDADE;OBS;COD;TIPO;OBS
10/03/22;EMP;113;2399-90.2021;Serviço de lavagem de veículos - item 2;200;PRESI;20GPC;33903919;ADM MANVEI;SETRAN;160;SETRAN;estimativo;EMP11320020GPC/33903919-ADM MANVEI-SETRAN-160
10/03/22;EMP;114;2399-90.2021;Serviço de lavagem de veículos - item 3;2700;PRESI;20GPC;33903919;ADM MANVEI;SETRAN;160;SETRAN;estimativo;EMP114270020GPC/33903919-ADM MANVEI-SETRAN-160
10/03/22;EMP;115;2399-90.2021;Serviço de lavagem de veículos - item 4;3360;PRESI;20GPC;33903919;ADM MANVEI;SETRAN;160;SETRAN;estimativo;EMP115336020GPC/33903919-ADM MANVEI-SETRAN-160
10/03/22;EMP;116;2399-90.2021;Serviço de lavagem de veículos - item 5;840;PRESI;20GPC;33903919;ADM MANVEI;SETRAN;160;SETRAN;estimativo;EMP11684020GPC/33903919-ADM MANVEI-SETRAN-160
10/03/22;EMP;117;2399-90.2021;Serviço de lavagem de veículos - item 6;600;PRESI;20GPC;33903919;ADM MANVEI;SETRAN;160;SETRAN;estimativo;EMP11760020GPC/33903919-ADM MANVEI-SETRAN-160
29/03/22;EMP;189;500-23.2022;Contratação de Curso de TED ;3380;SAO;CAPAC;33903948;AC CAPPAC;SEDES;5;SEDES;ordinario;EMP1893380CAPAC/33903948-AC CAPPAC-SEDES-5
21/03/22;EMP;126;430-06.2022;Aquisição de máscara cirúrgica descartável;11340;DG;20GPC;999999999;OUTROS;OUTRO;190;SEALM;ordinario;EMP1261134020GPC/999999999-OUTROS--190
12/04/22;EMP;219;456-04.2022;Prestação de serviços de rede corporativa - CT 10/2018;311899,22;PRESI;20GPC;33904013;TIC COMRED;STI;173;CIE ;global;"EMP219311899;2220GPC/33904013-TIC COMRED-STI-173"
15/03/22;INF;38;2514-14.2021;Prestação de serviços de rede corporativa;496385,57;;20GPC;33904013;TIC COMRED;STI;173;CIE ;global;"INF38496385;5720GPC/33904013-TIC COMRED-STI-173"
15/03/22;INF;39;368-45.2022;Serviços de limpeza de ar condicionado;2950;;20GPC;999999999;OUTROS;OUTRO;190;6ZE;estimativo;INF39295020GPC/999999999-OUTROS--190
15/03/22;INF;39;368-45.2022;Serviços de limpeza de bebedouro;90;;20GPC;999999999;OUTROS;OUTRO;190;6ZE;estimativo;INF399020GPC/999999999-OUTROS--190
15/03/22;INF;39;368-45.2022;Contribuição Patronal - Serviços de limpeza de ar condicionado;590;;20GPC;33914718;OUTROS;OUTRO;191;6ZE;estimativo;INF3959020GPC/33914718-OUTROS--191
